Churn,CellPlan,Sex,Age,Fee,PhoneBrand,default,student,balance,income,maritl,race,education,region,jobclass,health,health_ins,logwage,wage,grp1,state,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
0,3,male,22,7.25,S,No,No,729.526495207286,44361.6250742669,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.31806333496276,75.0431540173515,R,SC,117.74,79.99,97.1,102.37,107.47,103.98,96.59,117.44,81.72,93.52
1,1,female,38,71.2833,C,No,Yes,817.180406555498,12106.1347003149,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.25527250510331,70.4760196469445,E,MT,93.52,99.83,95.12,86.61,106.78,110.18,94.1,107.64,102.14,112.41
1,3,female,26,7.925,S,No,No,1073.54916401173,31767.1389473999,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.8750612633917,130.982177377461,Y,KS,98,97.59,97.28,98.93,112.97,97.2,104.58,99.93,119.6,105.93
1,1,female,35,53.1,S,No,No,529.250604745278,35704.4939350781,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.04139268515823,154.68529299563,X,OR,106.89,82.08,111.06,105.78,109.99,102.28,116.46,112.58,99.89,117.03
0,3,male,35,8.05,S,No,No,785.655882930501,38463.4958787229,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.31806333496276,75.0431540173515,Y,KS,100.36,120.5,100.59,104.54,95.32,84.15,113.12,102.7,98.6,103.37
0,1,male,54,51.8625,S,No,Yes,919.5885304745,7491.55857182746,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.84509804001426,127.115743812184,S,RI,119.44,88.83,102.59,88.1,105.71,101.24,101.76,114.5,83.3,90.61
0,3,male,2,21.075,S,No,No,825.513330517201,24905.2265775235,2. Married,4. Other,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.13302127864665,169.528538036679,J,CO,107.37,86.46,116.31,119.73,104.23,100.31,93,98.2,101.66,96.48
1,3,female,27,11.1333,S,No,Yes,808.667504297266,17600.4513435869,1. Never Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.7160033436348,111.720849360989,U,SC,123.21,104.51,108.69,89.24,115.72,116.76,108.74,105.82,110.97,96.23
1,2,female,14,30.0708,C,No,No,1161.05785403132,37468.5292875375,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364,118.884359339886,A,MO,103.49,110.33,112.17,101.94,102.4,99.14,92.09,112.08,110.78,112.63
1,3,female,4,16.7,S,No,No,0,29275.2682931678,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.85733249643127,128.680488220624,Y,TN,88.66,98.04,117.2,110.86,103.16,110.47,105.53,109.7,101.78,102.51
1,1,female,58,26.55,S,No,Yes,0,21871.0730892776,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.76342799356294,117.146816914805,Z,PA,104.21,102.27,96.87,100.79,94.56,103.86,103.31,101.62,105.07,96.59
0,3,male,20,8.05,S,No,Yes,1220.58375300377,13268.5622209261,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204,81.2832532842527,J,VA,90.75,88.98,98.98,114.7,101.23,113.93,91.83,96.75,89.53,117.65
